,Phenylalanine,Valine,Threonine,Tryptophan,Methionine,Leucine,Isoleucine,Lysine,Histidine,Alpha-linolenic acid,Linolenic acid,"Vitamin A, total","Vitamin C, total","Vitamin E, total",Vitamin D,"Vitamin K, phylloquinone (K1)",Vitamin B1 (as thiamin hydrochloride),Vitamin B2 (riboflavin),Vitamin B3,Vitamin B5,"Vitamin B6 (as pyridoxinehydrochloride), total",Vitamin B7,Vitamin B9,Vitamin B12 (as cyanocobalamin),Sodium (Na),Potassium (K),Calcium (Ca),Phosphorus (P),Magnesium (Mg),Iron (Fe),Zinc (Zn),Iodine (I),Manganese (Mn),Copper (Cu),Chromium (Cr),Selenium (Se),Cl,Mo,Co
"Blueberry, frozen, unsweetened",15.0,18.0,12.0,2.0,7.0,25.0,13.0,8.0,6.0,0,0.0,0,2.5,0.0,0,0.0,0.032,0.037000000000000005,0.52,0.125,0.059000000000000004,0.0,0.006999999999999999,0.0,1.0,54.0,8.0,11.0,5.0,0.18,0.07,0.0,0.147,0.033,0.0,0.0,0,0,0
Liquorice allsorts,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,401.0,97.0,29.0,48.0,4.2,0.377,0.0,0.68,0.23800000000000002,0.043,0.001,0,0,0
"Cheese food, cold pack, american",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.07400000000000001,0.977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Mulberries, raw",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Epazote, raw",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.639,0.179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Plaintain, raw",44.0,46.0,33.0,15.0,17.0,58.0,35.0,60.0,64.0,0,0.0,0,18.4,0.0,0,0.0,0.052000000000000005,0.054000000000000006,0.6859999999999999,0.26,0.299,0.0,0.022000000000000002,0.0,4.0,499.0,3.0,34.0,37.0,0.6,0.14,0.0,0.0,0.081,0.0,0.0,0,0,0
"Mollusks, oyster, Pacific, raw",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2.01,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Butterhead lettuce (US), cabbage lettuce (UK), raw",41.0,65.0,41.0,15.0,12.0,71.0,47.0,55.0,20.0,0,0.0,0,9.0,0.3,0,0.13,0.08,0.1,0.5,0.2,0.08199999999999999,0.7,0.0832,0.0,18.0,320.0,52.2,39.2,17.0,0.65,0.51,0.0006,0.52,0.051,0.0016,0.0001,0,0,0
"Coffee and cocoa (mocha) powder, with whitener and low calorie sweetener, decaffeinated",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,4.655,0.063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Rainbow trout, raw",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.013000000000000001,0,0.0,1.6,0,0.0,0.1,0.21,5.2,0.0,0.69,0.0,0.022000000000000002,0.003,52.0,420.0,127.0,260.0,25.0,0.4,0.48,0.0053,0.02,0.05,0.00045999999999999996,0.0169,0,0,0
"Garfish, raw",820.0,1200.0,920.0,240.0,620.0,1500.0,1000.0,1900.0,720.0,0,0.005,0,2.0,1.7,0,0.0,0.012,0.085,8.5,0.8,0.9,1.2,0.001,0.0027,55.0,298.0,25.0,251.0,25.0,0.4,0.5,0.02,0.02,0.42,0.00047000000000000004,0.0309,0,0,0
"Moose, liver, braised (Alaska Native)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,4.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Jujube, raw",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Cream pastry, average values",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Spaghetti with meat sauce, frozen entree",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.177,0.071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Game meat, deer, raw",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,6.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Game meat, bear, raw",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Egg rolls, pork, refrigerated, heated",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0001,0,0.0,0.0,0,0.0,0.0,0.0,2.25,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Papaya, pawpaw, raw",10.0,11.0,12.0,9.0,2.0,18.0,9.0,29.0,6.0,0,0.0,0,61.8,0.0,0,0.0,0.027000000000000003,0.032,0.33799999999999997,0.218,0.019,0.0,0.057999999999999996,0.0,4.0,197.0,24.5,10.3,22.0,0.7,0.073,0.0,0.011000000000000001,0.016,0.0,0.0,0,0,0
"Cassava, raw",26.0,35.0,28.0,19.0,11.0,39.0,26.0,44.0,20.0,0,0.0,0,20.6,0.0,0,0.0,0.087,0.048,0.8540000000000001,0.107,0.08800000000000001,0.0,0.027000000000000003,0.0,14.0,271.0,16.0,27.0,21.0,0.27,0.34,0.0,0.384,0.1,0.0,0.0,0,0,0
"Yeast extract, Marmite",0.0,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,620.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Snacks, potato chips, barbecue-flavor",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,4.692,0.617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Fast foods, hotdog, plain",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,3.72,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Fish, snapper, mixed species, raw",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0102,0,0.0,0.0,0,0.0,0.0,0.0,0.284,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Chocolate, bitter",200.0,270.0,170.0,53.0,50.0,270.0,170.0,230.0,74.0,0,0.0,0,0.0,0.0,0,0.0,0.075,0.145,0.6,0.19,0.05,3.0,0.006999999999999999,0.0,12.8,417.0,64.0,140.0,121.0,2.76,2.2,0.0023,0.78,0.9540000000000001,0.006,0.0045,0,0,0
"Oil, sesame",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,1.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Wheat, durum",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,6.7379999999999995,0.935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Cabbage, red, canned",18.0,45.0,12.0,8.0,8.0,30.0,27.0,30.0,16.0,0,0.0,0,20.0,0.07,0,0.149,0.065,0.05,0.6,0.324,0.107,0.1,0.035,0.0,300.0,100.0,39.3,29.3,6.0,0.83,0.55,0.0001,0.083,0.025,0.002,0.0003,0,0,0
"Bread, pan dulce, sweet yeast bread",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,3.463,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Bacon crisps,1300.0,1600.0,1200.0,56.0,540.0,1900.0,900.0,2200.0,520.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.127,1.82,0.34,0.015,14.0,0.023,0.0,1252.0,146.0,27.0,96.0,9.7,0.67,0.59,0.0,0.05,0.17,0.012,0.0136,0,0,0
Apple jelly,13.0,19.0,14.0,5.0,5.0,26.0,16.0,24.0,8.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Carrot juice, canned",24.0,41.0,24.0,8.0,8.0,36.0,27.0,33.0,12.0,0,0.0,0,8.5,0.0,0,0.0,0.092,0.055,0.386,0.228,0.217,0.0,0.004,0.0,29.0,292.0,14.2,24.4,14.0,0.46,0.18,0.0,0.13,0.046,0.0,0.0,0,0,0
"Mustard, brown, ready made",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.3,0,0.0,0.051,0.025,0.0,0.0,0.071,0.0,0.008,0.0,1307.0,130.0,124.0,134.0,48.0,1.8,0.7,0.003,0.36,0.09,0.017,0.006,0,0,0
"Beans, shellie, canned, solids and liquids",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.205,0.133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Nutmeg, whole",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,3.0,0.0,0,0.0,0.34600000000000003,0.057,1.3,0.0,0.16,0.0,0.076,0.0,16.0,350.0,184.0,213.0,183.0,3.04,2.15,0.0,0.0,1.03,0.0,0.0016,0,0,0
"Tortillas, ready-to-bake or -fry, corn",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.498,0.109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Nuts, pilinuts, dried",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.519,0.479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Jew's ear, (pepeao), raw",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.07,1.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Brazil nuts,670.0,970.0,420.0,160.0,1100.0,1200.0,580.0,530.0,390.0,0,0.0,0,0.0,5.0,0,0.0,1.13,0.035,0.2,0.23,0.105,2.0,0.004,0.0,3.0,523.0,140.0,590.0,357.0,2.5,4.2,5e-05,2.78,1.76,0.0,0.10300000000000001,0,0,0
"Sesbania flower, raw",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Feijoa, raw",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.295,0.233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Fish, milkfish, raw",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,6.44,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Macaroni, spaghetti, boiled",280.0,250.0,140.0,54.0,82.0,390.0,230.0,110.0,120.0,0,0.0,0,0.0,0.07,0,0.0,0.04,0.01,0.3,0.06,0.01,0.2,0.002,0.0,2.0,78.0,13.0,50.0,24.0,0.6,0.7,0.001,0.2,0.2,0.0014,0.0018,0,0,0
"Cranberries, raw",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.10099999999999999,0.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Nuts, butternuts, dried",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.045,0.633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Ice cream sandwich,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.5659999999999998,0.209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Pollack, lythe, raw",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.78,0,0.0,0.1,0.1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Fish, scup, raw",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0012,0,0.0,0.0,0,0.0,0.0,0.0,4.1,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"French toast, frozen, ready-to-heat",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2.722,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Succotash, (corn and limas), raw",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.587,0.128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Custard-apple, (bullock's-heart), raw",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.5,0.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Coconut meat, desiccated",340.0,410.0,250.0,85.0,130.0,510.0,290.0,270.0,160.0,0,0.0,0,0.0,0.15,0,0.0,0.035,0.04,0.6,0.2,0.044000000000000004,0.0,0.024,0.0,28.0,750.0,10.8,187.0,90.0,3.6,0.5,0.0003,0.0,0.55,0.0058,0.0068,0,0,0
"Fish, sucker, white, raw",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.2,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Shortening, household, soybean (partially hydrogenated)-cottonseed (partially hydrogenated)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Walnut oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Fruit juice, mixed, sweetened, concentrated",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,6.0,0.4,0,0.0,0.006,0.015,0.2,0.0,0.02,0.0,0.003,0.0,3.0,132.0,9.0,11.0,10.0,0.35,0.05,0.0013,0.0,0.0,0.0006,0.00015,0,0,0
"Mushroom, canned",60.0,88.0,72.0,28.0,20.0,100.0,64.0,88.0,38.0,0,0.0,0,2.1,0.0,0,0.0,0.081,0.402,3.61,1.0,0.06,16.0,0.023,0.0,5.0,190.0,18.0,76.0,8.0,0.84,0.93,0.0005,0.07,0.48,0.009000000000000001,0.0033,0,0,0
"Flounder, raw",700.0,990.0,780.0,140.0,520.0,1400.0,900.0,1700.0,410.0,0,0.0008,0,1.0,1.0,0,0.0,0.22,0.21,3.0,0.68,0.25,1.2,0.015,0.003,65.0,394.0,35.0,182.0,27.0,0.3,0.78,0.0155,0.04,0.036000000000000004,0.0008210000000000001,0.0204,0,0,0
"Beans, snap, yellow, raw",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.752,0.094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Fast foods, taco with beef, cheese and lettuce, hard shell",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0001,0,0.0,0.0,0,0.0,0.0,0.0,1.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Longans, raw",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Fish, pout, ocean, raw",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2.1,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Whale, bowhead, skin and subcutaneous fat (muktuk) (Alaska Native)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Fish, monkfish, raw",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2.1,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Oil, industrial, soy (partially hydrogenated)  and cottonseed, principal use as a tortilla shortening",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Game meat, boar, wild, cooked, roasted",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Peppermint, fresh",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.706,0.33799999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
"Seaweed, spirulina, raw",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.196,0.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
